Test_No,SEID,System_Error,Parameter,DateNum_Start,Start,Stop,Datenum_Stop,Max,Min,Mean,Std,Ppk
150730-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736175.4074,42215.40694,42215.78958,736175.7898,,,,,
150730-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736175.881,42215.88056,42216.31319,736176.3133,,,,,
150731-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736176.4126,42216.4125,42216.63681,736176.6372,,,,,
150731-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736176.8931,42216.89306,42217.34653,736177.3467,,,,,
150801-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736177.5525,42217.55208,42217.78056,736177.7809,,,,,
150803-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736179.8544,42219.85417,42220.22431,736180.2247,,,,,
150804-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736180.3565,42220.35625,42220.49514,736180.4956,,,,,
150804-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736180.8791,42220.87847,42221.30556,736181.3061,0.990595758,0.915750504,0.976000541,0.016642475,119.6937474
150805-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736181.4076,42221.40694,42221.76319,736181.7634,0.999765873,0.965231299,0.98435269,0.007446042,267.8985885
150805-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736181.8544,42221.85417,42222.33194,736182.3326,0.973096073,0.944655776,0.962004731,0.013201828,150.5348288
150806-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736182.4055,42222.40486,42222.74792,736182.7481,0.971129298,0.955355585,0.964005291,0.005431427,366.0183181
150806-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736182.8602,42222.85972,42223.31042,736183.3107,,,,,
150807-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736183.431,42223.43056,42223.74444,736183.7451,,,,,
150812-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736188.8908,42228.89028,42229.36597,736189.3666,,,,,
150813-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736189.398,42229.39792,42229.76111,736189.7617,,,,,
150814-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736190.8643,42230.86389,42231.32014,736191.3202,0.967671752,0.938088953,0.950925589,0.008256039,240.265569
150815-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736191.5166,42231.51597,42231.75278,736191.7529,0.954319477,0.92535764,0.940601908,0.007913522,250.2300033
150819-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736195.8736,42235.87292,42236.27361,736196.2743,,,,,
150820-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736196.5046,42236.50417,42236.81806,736196.8185,0.978242218,0.938267469,0.967072404,0.008248705,241.131674
150820-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736197.0323,42237.03194,42237.17083,736197.1709,,,,,
150821-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736197.5103,42237.50972,42237.77986,736197.7801,,,,,
150822-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736198.5279,42238.52778,42238.81667,736198.8167,,,,,
